"weekday","hour","low_bound","upp_bound","mse"
1,10,0.00376981536184837,0.00205749136763542,0.268475556275668
1,11,0.00288831309723199,0.00191977380515609,0.268475556275668
1,12,0.00243645125801883,0.00113184640926795,0.268475556275668
1,13,0.00207963007106152,0.00231777392221541,0.268475556275668
1,14,0.00666844020530284,0.00332289184918044,0.268475556275668
1,15,0.00706412394887473,0.0028363133493034,0.268475556275668
1,16,0.00233788040751182,0.000983291277561996,0.268475556275668
1,17,0.00455671638651435,0.00298860711608318,0.268475556275668
1,18,0.00361237014536399,0.000643440728843342,0.268475556275668
1,19,0.00146129031811926,0.00155666022398935,0.268475556275668
1,20,0.00514301036163207,0.000997909594424649,0.268475556275668
2,10,0.00264712614908651,0.00526743598346452,0.268475556275668
2,11,0.00227486739914723,0.00100237379392845,0.268475556275668
2,12,0.00786726815040306,0.000506026955162824,0.268475556275668
2,13,0.0112067681111107,0.00260945414610797,0.268475556275668
2,14,0.00681327524040066,0.00327273901314914,0.268475556275668
2,15,0.00727766794192627,0.00122806145858155,0.268475556275668
2,16,0.00278823576613004,0.00313380969507008,0.268475556275668
2,17,0.00483282557829378,0.00216509143743109,0.268475556275668
2,18,0.0115228560248333,0.00122098082840926,0.268475556275668
2,19,0.00292441448785391,0.00321318819252147,0.268475556275668
2,20,0.00679185951005904,0.00180214175374942,0.268475556275668
3,10,0.00280030207877991,0.00122304573380067,0.268475556275668
3,11,0.00326842565819385,0.00195967627616476,0.268475556275668
3,12,0.00297326477712555,0.00106117532746426,0.268475556275668
3,13,0.00238563413200949,0.00113674905091831,0.268475556275668
3,14,0.00151325759555048,0.00101059261931141,0.268475556275668
3,15,0.00477794563511901,0.00308614119741154,0.268475556275668
3,16,0.00617464668200525,0.00697356142401197,0.268475556275668
3,17,0.00522578935777599,0.0032759536560915,0.268475556275668
3,18,0.00929580532559617,0.00214662543390865,0.268475556275668
3,19,0.00914035262194077,0.00122288317213773,0.268475556275668
3,20,0.00795575786004517,0.0019617228549255,0.268475556275668
4,10,0.0206951031739551,0.00217109953508457,0.268475556275668
4,11,0.00280445004082905,0.00173004755269034,0.268475556275668
4,12,0.0083303364154667,0.00373144907016315,0.268475556275668
4,13,0.015619075475992,0.000768418651037565,0.268475556275668
4,14,0.00335755862190842,0.00265085140698491,0.268475556275668
4,15,0.0107486196701489,0.00289449891371444,0.268475556275668
4,16,0.00898236169985402,0.00192347581198774,0.268475556275668
4,17,0.00397512259290071,0.00280435739548481,0.268475556275668
4,18,0.00906685949843562,0.00298197638909376,0.268475556275668
4,19,0.0307560630359964,0.00192647602349474,0.268475556275668
4,20,0.0102150652550145,0.00213667177616758,0.268475556275668
5,10,0.00370875130137617,0.00160343361135934,0.268475556275668
5,11,0.00277785777406315,0.00108202656642525,0.268475556275668
5,12,0.00788755242233279,0.00534573684624456,0.268475556275668
5,13,0.000998801588576202,0.0044340562489719,0.268475556275668
5,14,0.0104805262620576,0.00379801538926679,0.268475556275668
5,15,0.00181923147941704,0.00112844935000356,0.268475556275668
5,16,0.0030196573404476,0.00221126873180967,0.268475556275668
5,17,0.00291754273628834,0.00228814482882632,0.268475556275668
5,18,0.00477895962793846,0.00113914711117974,0.268475556275668
5,19,0.00280169107770434,0.00345457623011482,0.268475556275668
5,20,0.00502384460778264,0.00084566340533943,0.268475556275668
6,10,0.000849811242934131,0.00104398298804938,0.268475556275668
6,11,0.0032550507852394,0.0006419649176807,0.268475556275668
6,12,0.0044704598726609,0.00111777737373739,0.268475556275668
6,13,0.00379663557462264,0.00296979046853026,0.268475556275668
6,14,0.00269478900504954,0.00780468232002198,0.268475556275668
6,15,0.000885833605404033,0.0017093785096262,0.268475556275668
6,16,0.000812542130095208,0.00358936668594461,0.268475556275668
6,17,0.0012663530248573,0.000937210387876621,0.268475556275668
6,18,0.006055330215052,0.00275790908224084,0.268475556275668
6,19,0.00566045935494827,0.00490606327410055,0.268475556275668
6,20,0.00411062544859627,0.00247134637348073,0.268475556275668
7,10,0.00333085864976109,0.000739982118352639,0.268475556275668
7,11,0.00223848418691711,0.00286948702950044,0.268475556275668
7,12,0.00317204776342339,0.000680193974933496,0.268475556275668
7,13,0.00673067493927079,0.00209801224411898,0.268475556275668
7,14,0.00260076344619894,0.00244993171790734,0.268475556275668
7,15,0.00273149335055205,0.00454595996892219,0.268475556275668
7,16,0.0110039946537256,0.00212468050375755,0.268475556275668
7,17,0.00148130339866962,0.00275486489939626,0.268475556275668
7,18,0.000749272897301695,0.00196936225255679,0.268475556275668
7,19,0.00638938133444498,0.000937084408607734,0.268475556275668
7,20,0.00300360614521236,0.00131215505195866,0.268475556275668
